ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
1004,2.54,1.75
1005,2.72,1.48
1006,3.66,2.95
1007,3.5,2.69
1008,3,2.78
1009,1.88,2.39
1010,2.71,1.79
1011,2.71,1.68
1012,2.58,0.34
1013,3.13,2.4
1014,3.78,3.21
1015,1.93,2.71
1016,1.53,1.6
1017,3.64,3.5
1018,3.02,2.64
1019,3.18,2.42
1020,2.73,1.25
1021,3.42,3.13
1022,3.34,2.7
1023,3.34,1.81
1024,3.34,1.53
1025,3.34,0.97
1026,3.6,2.23
1027,2.5,1.21
1028,2.66,2.75
1029,2.2,1.03
1030,3.18,2.72
1031,4,3.45
1032,3.42,3.03
1033,3.02,2.06
1034,3.72,2.03
1035,2.36,1.42
1036,3.92,3.48
1037,3.4,3.48
1038,3.81,3.17
1039,3.75,2.74
1040,3.5,2.37
1041,3.88,2.77
1042,3.61,3.41
1043,3.88,3.39
1044,3.75,3.37
1045,3.31,3.3
1046,4,3.17
1047,3.82,3.07
1048,4,2.92
1049,2.77,2.17
1050,3.87,2.08
1051,3.25,2.03
1052,2.88,1.96
1053,3.87,1.28
1054,3.33,2.31
1055,3.33,1.88
1056,3.72,1.9
1057,4,3
1058,3.7,2.84
1059,3.28,2.84
1060,3.6,2.28
1061,3.34,2.14
1062,3.9,2.06
1063,3.5,1.94
1064,3.9,1.89
1065,3.34,1.68
1066,3.23,1.34
1067,3.64,3.56
1068,3.57,3.45
1069,3.42,3.2
1070,2.97,2.92
1071,3.33,2.89
1072,2.73,2.6
1073,2.2,2.59
1074,3.57,2.53
1075,2.89,2.48
1076,2.85,2.48
1077,3.53,2.24
1078,2.52,1.74
1079,2.52,1.45
1080,3.4,1.39
1081,3.54,3.36
1082,3.18,3.09
1083,3.22,2.97
1084,3.5,2.86
1085,2.9,2.79
1086,3.5,2.68
1087,3.59,2.64
1088,3.88,4
1089,3.02,2.36
1090,2.25,2.24
1091,2.92,2
1092,2.92,2
1093,2.9,2
1094,2.79,1.1
1095,2.35,1.03
1096,2.35,0.8
1097,4,2.48
1098,2.66,2.43
1099,3.1,2.28
1100,2.5,2.34
1101,2.5,1.78
1102,2.5,1.59
1103,2,1.87
1104,3.67,2.25
1105,4,2.15
1106,3.33,1.75
1107,3.33,1.36
1108,3.92,3.89
1109,3.75,3.47
1110,3.88,2.97
1111,2.92,2.62
1112,3.88,1.95
1113,2.52,1.79
1114,3.6,1.75
1115,2.57,0.68
1116,2.57,0.31
1117,3.26,3.33
1118,3.6,3.17
1119,3.37,3.05
1120,3.26,2.7
1121,3.7,2.63
1122,3.53,2.53
1123,3.28,2.5
1124,3.47,2.45
1125,3.36,2.39
1126,3.17,2.38
1127,3.33,2.23
1128,3.61,2.06
1129,2.9,1.48
1130,3.76,3.31
1131,3.42,2.81
1132,3.46,2.4
1133,2.57,2
1134,3.82,1.75
1135,2.4,1.6
1136,4,3.72
1137,3.62,3.21
1138,3.28,2.77
1139,3.95,2.74
1140,3.56,2.48
1141,3.53,2.59
1142,2.54,2.98
1143,2.94,2.21
1144,3.83,2.12
1145,1.72,0.53
1146,3.56,3.18
1147,3,2.56
1148,3.07,2.75
1149,3.96,3.58
1150,3.94,3.36
1151,3.82,3.31
1152,2.9,3.17
1153,4,3.1
1154,3.21,2.86
1155,3.36,2.81
1156,3.54,2.79
1157,3.5,2.45
1158,3.93,3.92
1159,3.6,3.65
1160,3.58,3.27
1161,3.65,2.7
1162,3.42,2.67
1163,3.66,2.45
1164,3.18,2.34
1165,3.8,2.31
1166,3.82,1.54
1167,3.44,3.09
1168,1.82,2
1169,1.82,1.75
1170,2.01,1.19
1171,4,2.58
1172,3.58,3.77
1173,2.4,3.42
1174,3.45,3.36
1175,3,3.25
1176,2.11,3.24
1177,2.66,3.2
1178,1.62,3.06
1179,3.25,3
1180,2.23,2.89
1181,3.2,2.85
1182,3.6,2.77
1183,2.5,2.74
1184,3.56,2.71
1185,1.5,2.65
1186,2.88,2.53
1187,2.75,2.47
1188,2.63,2.45
1189,3.18,2.33
1190,2.4,2.33
1191,2.77,2.27
1192,2.62,2.27
1193,2.11,2.25
1194,2.86,1.9
1195,3.13,1.84
1196,2.86,1.53
1197,3.37,1.09
1198,2.44,0.87
1199,3.12,0.36
1200,3.8,3.69
1201,3.92,3.56
1202,3.55,3.48
1203,3.84,3.25
1204,3.4,3.2
1205,2.94,3.06
1206,3.26,3.03
1207,3.46,2.84
1208,3.78,2.83
1209,3.26,2.83
1210,2.92,2.62
1211,3.72,2.55
1212,2.9,2.43
1213,2.42,2.43
1214,3.12,2.42
1215,2.74,2.36
1216,2.45,2.25
1217,2.68,2.24
1218,2.45,2.09
1219,2.74,2.08
1220,3.47,2
1221,2.92,2
1222,2.9,2
1223,2.06,1.88
1224,2.12,1.83
1225,2.74,1.75
1226,2.42,1.69
1227,3.5,1.67
1228,2.26,1.65
1229,1.96,1.59
1230,2.84,1.5
1231,1.85,1.48
1232,2.9,1.09
1233,1.76,0.86
1234,2.26,0.5
1235,1.96,0.5
1236,3.6,2.98
1237,1.96,2.5
1238,1.38,1.27
1239,2.62,3.25
1240,3,2.87
1241,3.12,2.67
1242,3.35,2.3
1243,3.28,1.97
1244,2.8,1.86
1245,3.15,2.25
1246,3.8,1.48
1247,3.5,3.59
1248,2.65,2.27
1249,2.78,2.36
1250,2.46,2.31
1251,3.91,3.38
1252,3.66,4
1253,2.54,4
1254,3.6,3.93
1255,4,3.84
1256,3.4,3.84
1257,3.83,3.73
1258,3.75,3.7
1259,3.4,3.53
1260,2.62,3.47
1261,3,3.45
1262,3.81,3.42
1263,3.62,3.4
1264,3.85,3.25
1265,3.61,3.12
1266,3.3,3.12
1267,3.83,3.03
1268,3.57,3
1269,2.91,2.98
1270,3.8,2.95
1271,3.55,2.89
1272,3.39,2.89
1273,3.18,2.88
1274,3.44,2.84
1275,2.62,2.59
1276,1.88,2.58
1277,3.24,2.5
1278,2.37,2.5
1279,3.34,2.47
1280,2.5,2.36
1281,3.06,2.25
1282,3.18,2.23
1283,2.52,2.2
1284,3.55,2.18
1285,3.06,2.17
1286,3,2.15
1287,2.75,2.1
1288,3.17,2.06
1289,3.46,2
1290,3,2
1291,2.96,2
1292,2.26,2
1293,1.85,2
1294,3,1.91
1295,2.62,1.9
